State_UT,year,Computers_Primary_Only,Computers_U_Primary_Only,Computers_Sec_Only,Computers_HrSec_Only,Computers_All Schools,Electricity_Primary_Only,Electricity_U_Primary_Only,Electricity_Sec_Only,Electricity_HrSec_Only,Electricity_All Schools,Water_Primary_Only,Water_U_Primary_Only,Water_Sec_Only,Water_HrSec_Only,Water_All Schools,Boys_toilet_Primary_Only,Boys_toilet_U_Primary_Only,Boys_toilet_Sec_Only,Boys_toilet_HrSec_Only,Boys_toilet_All Schools,Girls_Toilet_Primary_Only,Girls_Toilet_U_Primary_Only,Girls_Toilet_Sec_Only,Girls_Toilet_HrSec_Only,Girls_Toilet_All Schools
Uttar Pradesh,2013-14,5.53,14.75,9.37,37.5,11.12,48.32,49.24,69.88,91.67,52.19,98.83,96.87,97.03,100.0,98.17,97.18,97.31,95.45,0.0,97.25,98.65,98.77,96.36,0.0,98.66
Uttar Pradesh,2014-15,6.43,16.64,15.5,20.0,12.72,49.64,50.49,70.39,90.0,53.59,98.85,97.36,97.35,100.0,98.57,98.36,98.39,98.49,100.0,98.5,98.59,98.6,98.69,100.0,98.72
Uttar Pradesh,2015-16,6.67,17.15,16.23,28.57,13.31,50.11,51.05,70.21,50.0,54.26,98.93,97.72,97.79,92.86,98.73,99.74,99.74,98.82,92.31,99.74,99.8,99.83,98.96,92.31,99.8
Uttarakhand,2013-14,12.78,57.03,27.34,50.0,31.97,68.32,79.87,61.87,100.0,74.21,95.85,94.5,81.29,100.0,95.72,94.2,94.27,0.0,0.0,94.71,95.39,96.71,0.0,0.0,96.06
Uttarakhand,2014-15,13.17,57.34,24.89,61.54,32.97,71.88,81.35,54.01,100.0,76.95,95.28,93.9,74.26,100.0,95.14,96.31,96.58,75.45,100.0,96.46,95.43,97.14,73.73,91.67,95.97
Uttarakhand,2015-16,12.86,57.33,30.64,73.33,33.54,73.55,82.11,64.26,100.0,78.64,96.25,95.16,88.09,100.0,96.43,97.18,97.09,93.15,100.0,97.43,96.71,97.68,91.88,100.0,97.18
West Bengal,2013-14,3.94,7.93,0.0,54.55,10.77,36.48,31.77,100.0,90.91,42.76,97.81,95.07,100.0,100.0,97.75,80.34,78.71,0.0,0.0,81.42,80.02,83.5,0.0,0.0,82.08
West Bengal,2014-15,4.55,9.32,0.0,66.67,12.13,52.52,45.63,0.0,91.67,56.96,98.0,95.49,0.0,91.67,97.93,89.45,87.89,0.0,100.0,89.93,91.69,91.98,0.0,100.0,92.42
West Bengal,2015-16,4.69,9.97,0.0,66.67,12.67,73.64,55.24,0.0,91.67,74.88,98.43,96.92,0.0,100.0,98.42,97.53,98.86,0.0,100.0,97.7,98.1,99.02,0.0,100.0,98.29
All India,2013-14,9.25,18.22,44.8,26.65,24.08,46.38,45.97,75.08,91.01,56.78,94.09,93.9,96.52,97.14,95.4,84.01,88.14,97.97,74.36,86.56,88.68,91.39,99.06,76.14,91.23
All India,2014-15,10.32,19.4,51.27,47.96,26.42,49.63,48.33,77.55,92.67,60.01,94.88,94.82,96.32,98.23,96.12,85.66,88.12,89.1,88.97,88.62,91.21,91.39,90.26,90.94,93.08
All India,2015-16,10.36,19.78,53.05,55.72,27.31,52.4,49.86,81.5,92.86,62.81,95.78,95.65,97.05,97.92,96.81,96.45,96.0,94.56,95.67,97.02,96.95,96.32,95.18,96.22,97.52
