State_UT,year,Primary_Boys_Dropout,Primary_Girls_Dropout,Primary_Total_Dropout,Upper Primary_Boys,Upper Primary_Girls,Upper Primary_Total,Secondary _Boys,Secondary _Girls,Secondary _Total,HrSecondary_Boys,HrSecondary_Girls,HrSecondary_Total,Primary_Boys_GER,Primary_Girls_GER,Primary_Total_GER,Upper_Primary_Boys,Upper_Primary_Girls,Upper_Primary_Total,Secondary_Boys,Secondary_Girls,Secondary_Total,Higher_Secondary_Boys,Higher_Secondary_Girls,Higher_Secondary_Total,Computers_Primary_Only,Computers_U_Primary_only,Computers_All Schools,Computers_Sec_Only,Computers_HrSec_Only,Electricity_Primary_Only,Electricity_U_Primary_Only,Electricity_Sec_Only,Electricity_HrSec_Only,Electricity_All Schools,Water_Primary_Only,Water_U_Primary_Only,Water_Sec_Only,Water_HrSec_Only,Water_All Schools,Boys_toilet_Primary_Only,Boys_toilet_U_Primary_Only,Boys_toilet_Sec_Only,Boys_toilet_HrSec_Only,Boys_toilet_All Schools,Girls_Toilet_Primary_Only,Girls_Toilet_U_Primary_Only,Girls_Toilet_Sec_Only,Girls_Toilet_HrSec_Only,Girls_Toilet_All Schools,Overall_Dropout,Overall_GER,Infrastructure_Score
Madhya Pradesh,2014-15,6.48,6.72,6.59,7.78,10.7,9.2,23.71,25.97,24.77,8.29,0.73,7.64,101.94,100.2,101.11,92.69,101.15,96.63,80.99,79.26,80.18,47.75,42.9,45.48,3.53,13.15,9.86,60.0,14.58,11.84,23.42,48.02,80.0,28.29,95.76,94.89,94.8,100.0,96.23,88.41,87.38,78.4,88.89,89.68,88.54,87.02,76.63,90.0,89.59,12.05,80.85000000000001,62.73
Maharashtra,2013-14,0.51,0.59,0.55,3.49,1.5,0.61,15.04,13.78,14.47,2.85,3.89,3.34,99.93,99.68,99.81,96.93,96.76,96.69,87.5,83.39,85.58,58.87,58.66,58.77,28.6,38.75,82.24,49.47,52.79,89.44,88.75,91.44,96.31,92.75,98.94,100.0,99.9,99.82,99.31,97.87,92.96,0.0,0.0,98.3,97.86,95.89,0.0,0.0,98.46,4.7425,85.21249999999999,94.212
Maharashtra,2014-15,1.26,1.25,1.26,0.89,2.83,1.79,13.11,12.58,12.87,2.02,1.6,1.83,99.0,98.88,98.95,97.94,99.85,98.82,91.08,87.27,89.31,62.85,61.46,62.2,32.52,47.75,88.43,73.75,57.07,90.75,85.59,94.03,97.58,93.93,99.42,100.0,99.95,99.95,99.64,98.83,95.0,99.04,98.98,99.15,98.9,98.04,99.35,99.28,99.29,4.4375,87.32,96.088
Manipur,2013-14,17.27,18.74,18.0,7.48,6.54,7.02,12.35,15.28,13.81,3.3,3.08,3.2,145.68,152.81,149.15,111.62,115.08,113.31,84.81,83.78,84.3,65.46,58.91,62.18,2.13,15.87,15.91,73.58,25.57,9.53,42.86,45.45,100.0,30.97,84.35,96.83,75.0,100.0,89.09,93.63,100.0,0.0,0.0,95.3,97.26,98.41,0.0,0.0,98.17,10.5075,102.23500000000001,65.888
Manipur,2014-15,9.5,9.83,9.66,3.61,4.8,4.2,12.94,15.86,14.38,8.29,5.85,7.64,132.47,136.38,134.37,115.39,122.33,118.77,91.43,89.78,90.62,68.35,62.45,65.39,1.82,24.59,14.63,79.63,25.23,9.73,44.26,46.34,100.0,30.66,83.07,96.72,73.17,100.0,88.58,91.68,100.0,100.0,100.0,94.93,92.69,100.0,97.56,100.0,95.51,8.97,102.2875,64.862
Meghalaya,2013-14,11.3,9.39,10.34,6.34,7.28,6.84,25.63,23.99,24.75,8.29,5.85,7.64,132.89,137.89,135.35,102.24,119.99,110.97,67.09,78.61,72.8,19.56,26.41,22.94,2.97,15.63,16.78,20.0,8.98,13.83,35.25,59.71,86.67,24.49,61.04,57.55,72.39,80.0,61.76,53.74,49.55,0.0,0.0,53.71,50.84,46.72,0.0,0.0,50.95,12.3925,85.515,41.538
Meghalaya,2014-15,10.35,8.56,9.46,6.77,6.3,6.52,20.8,20.27,20.52,8.29,5.85,7.64,136.19,140.69,138.4,113.28,131.11,122.03,75.12,87.1,81.05,31.95,40.21,36.03,3.23,18.12,24.78,43.3,10.64,14.86,38.78,62.34,87.63,26.72,62.59,61.13,71.75,83.51,63.74,63.75,63.53,62.83,73.33,64.48,62.63,65.16,60.65,71.13,63.92,11.035,94.3775,48.72800000000001
Mizoram,2013-14,12.57,13.38,12.96,6.61,5.39,6.02,20.0,17.37,18.7,8.29,5.85,7.64,127.88,123.89,125.96,119.38,118.03,118.72,105.92,107.34,106.62,57.97,61.85,59.88,9.21,56.86,9.97,9.73,27.76,61.97,79.26,85.22,93.81,73.79,94.33,94.45,89.35,91.15,93.39,68.62,75.39,0.0,0.0,73.27,99.47,99.81,0.0,0.0,99.62,11.33,102.795,70.00800000000001
Mizoram,2014-15,10.17,10.03,10.1,5.46,4.06,4.78,23.02,20.73,21.88,9.0,4.85,6.91,124.8,120.44,122.66,127.63,125.97,126.83,107.22,109.12,108.15,61.94,62.28,62.11,8.31,51.83,44.75,27.27,31.9,64.07,78.41,87.38,94.7,74.56,90.79,93.4,93.44,95.45,92.23,97.29,99.19,99.34,100.0,97.34,99.94,99.91,99.67,100.0,99.82,10.9175,104.9375,81.74
Nagaland,2013-14,19.09,19.74,19.41,18.08,17.63,17.86,34.14,36.08,35.11,15.36,12.96,14.19,116.66,121.05,118.78,99.06,106.65,102.68,66.33,70.3,68.24,33.65,32.28,32.98,4.98,59.09,30.88,25.0,34.96,18.38,39.02,50.0,95.83,39.06,69.27,59.47,69.12,91.67,72.33,86.38,82.77,0.0,0.0,87.88,97.07,93.18,0.0,0.0,97.08,21.6425,80.67,65.446
